"Label","M152, 2D-AR trawl sel","M146, pre-STAR base"
"CA_TWL_ARDEV_y1990_Lbin13",-0.0108686,NA
"CA_TWL_ARDEV_y1990_Lbin14",-0.0209499,NA
"CA_TWL_ARDEV_y1990_Lbin15",-0.035836,NA
"CA_TWL_ARDEV_y1990_Lbin16",-0.0542784,NA
"CA_TWL_ARDEV_y1990_Lbin17",-0.0736464,NA
"CA_TWL_ARDEV_y1990_Lbin18",-0.0315119,NA
"CA_TWL_ARDEV_y1990_Lbin19",-0.0501212,NA
"CA_TWL_ARDEV_y1990_Lbin20",0.0780099,NA
"CA_TWL_ARDEV_y1990_Lbin21",0.143136,NA
"CA_TWL_ARDEV_y1990_Lbin22",0.231453,NA
"CA_TWL_ARDEV_y1990_Lbin23",0.407118,NA
"CA_TWL_ARDEV_y1990_Lbin24",0.162934,NA
"CA_TWL_ARDEV_y1990_Lbin25",0.22729,NA
"CA_TWL_ARDEV_y1990_Lbin26",0.158811,NA
"CA_TWL_ARDEV_y1990_Lbin27",0.0151204,NA
"CA_TWL_ARDEV_y1990_Lbin28",-0.332973,NA
"CA_TWL_ARDEV_y1990_Lbin29",-0.380943,NA
"CA_TWL_ARDEV_y1990_Lbin30",-0.00872991,NA
