M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.14,0.7,2601.34,2.04161e-10,0,26.7596,572.235,1978.08,24.169,0,0,0.0853532,0.00573848,0,0,5.07999999999993
0.15,0.7,2599.4,1.23886e-10,0,25.6975,571.978,1977.38,24.3035,0,0,0.0403632,0.00572169,0,0,3.13999999999987
0.16,0.7,2598.24,7.70569e-11,0,24.9277,571.977,1976.76,24.5231,0,0,0.0431162,0.00570928,0,0,1.97999999999956
0.17,0.7,2597.81,4.91819e-11,0,24.4311,572.194,1976.29,24.8024,0,0,0.0851818,0.00569944,0,0,1.54999999999973
0.171052,0.7,2597.81,4.69966e-11,0,24.3939,572.227,1976.26,24.8343,0,0,0.0916063,0.00569857,0,0,1.54999999999973
0.174703,0.7,2597.85,4.01734e-11,0,24.2861,572.365,1976.13,24.9481,0,0,0.116599,0.00569572,0,0,1.58999999999969
0.18,0.7,2598.08,3.20487e-11,0,24.1881,572.633,1975.97,25.1211,0,0,0.15987,0.00569242,0,0,1.81999999999971
0.19,0.7,2599.01,2.10532e-11,0,24.1826,573.351,1975.74,25.4647,0,0,0.261807,0.00568966,0,0,2.75
0.2,0.7,2600.55,1.39291e-11,0,24.3984,574.343,1975.6,25.816,0,0,0.386633,0.00569086,0,0,4.28999999999996
0.21,0.7,2602.69,9.29843e-12,0,24.8192,575.613,1975.56,26.1601,0,0,0.530773,0.00569865,0,0,6.42999999999984
0.22,0.7,2605.37,6.27787e-12,0,25.4306,577.159,1975.6,26.4826,0,0,0.691275,0.00571677,0,0,9.10999999999967
0.13,0.72,2604.25,3.42758e-10,0,28.2063,572.729,1978.93,24.2204,0,0,0.152621,0.00575895,0,0,7.98999999999978
0.14,0.72,2601.5,2.01349e-10,0,26.8433,572.229,1978.12,24.253,0,0,0.0491187,0.00573909,0,0,5.23999999999978
0.15,0.72,2599.57,1.22021e-10,0,25.7915,571.977,1977.4,24.3913,0,0,0.00412876,0.00572219,0,0,3.30999999999995
0.16,0.72,2598.41,7.57686e-11,0,25.0327,571.983,1976.77,24.6099,0,0,0.00688174,0.00570966,0,0,2.14999999999964
0.17,0.72,2597.99,4.82551e-11,0,24.5477,572.207,1976.29,24.8842,0,0,0.0489473,0.00569972,0,0,1.72999999999956
0.171052,0.72,2597.98,4.61008e-11,0,24.5117,572.241,1976.25,24.9153,0,0,0.0553718,0.00569874,0,0,1.7199999999998
0.174703,0.72,2598.03,3.93805e-11,0,24.4082,572.381,1976.13,25.0262,0,0,0.0803644,0.00569592,0,0,1.76999999999998
0.18,0.72,2598.25,3.13852e-11,0,24.3165,572.652,1975.96,25.1942,0,0,0.123635,0.00569261,0,0,1.98999999999978
0.19,0.72,2599.18,2.0579e-11,0,24.3228,573.378,1975.72,25.5262,0,0,0.225573,0.0056896,0,0,2.91999999999962
0.2,0.72,2600.72,1.35958e-11,0,24.5502,574.379,1975.57,25.8633,0,0,0.350398,0.0056907,0,0,4.45999999999958
0.21,0.72,2602.85,9.06832e-12,0,24.9823,575.656,1975.52,26.191,0,0,0.494538,0.00569811,0,0,6.58999999999969
0.22,0.72,2605.52,6.12166e-12,0,25.6044,577.212,1975.55,26.4956,0,0,0.655041,0.00571565,0,0,9.25999999999976
0.13,0.75,2604.49,3.3521e-10,0,28.3184,572.722,1978.99,24.3456,0,0,0.110068,0.00575996,0,0,8.22999999999956
0.14,0.75,2601.76,1.96693e-10,0,26.9698,572.229,1978.16,24.3877,0,0,0.00656637,0.00573999,0,0,5.5
0.15,0.75,2599.84,1.19005e-10,0,25.9336,571.985,1977.42,24.5273,0,0,-0.0384236,0.0057229,0,0,3.57999999999993
0.16,0.75,2598.68,7.37319e-11,0,25.1911,571.999,1976.78,24.7407,0,0,-0.0356706,0.00571015,0,0,2.41999999999962
0.17,0.75,2598.26,4.68187e-11,0,24.7229,572.234,1976.28,25.0045,0,0,0.00639494,0.00570011,0,0,2
0.171052,0.75,2598.25,4.47125e-11,0,24.6887,572.269,1976.24,25.0343,0,0,0.0128195,0.00569917,0,0,1.98999999999978
0.174703,0.75,2598.3,3.81616e-11,0,24.5913,572.412,1976.11,25.14,0,0,0.0378121,0.00569627,0,0,2.03999999999996
0.18,0.75,2598.52,3.03758e-11,0,24.5083,572.688,1975.93,25.2995,0,0,0.0810829,0.00569286,0,0,2.25999999999976
0.19,0.75,2599.43,1.98729e-11,0,24.5311,573.424,1975.68,25.6124,0,0,0.18302,0.00568968,0,0,3.16999999999962
0.2,0.75,2600.96,1.31086e-11,0,24.7744,574.435,1975.51,25.9275,0,0,0.307846,0.00569048,0,0,4.69999999999982
0.21,0.75,2603.08,8.73741e-12,0,25.2214,575.725,1975.44,26.2307,0,0,0.451986,0.00569739,0,0,6.81999999999971
0.22,0.75,2605.73,5.90061e-12,0,25.8574,577.293,1975.46,26.5089,0,0,0.612488,0.00571391,0,0,9.4699999999998
0.13,0.8,2604.96,3.20627e-10,0,28.5075,572.738,1979.05,24.5828,0,0,0.0739934,0.00576165,0,0,8.69999999999982
